date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:12	43463/43463	---M--	200	added ('OK')	text/html	etag:%2270117-a9c7-53f75c93572c0%22	http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html	(from )
20:40:12	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Feb%202018%2018:40:22%20GMT	http://demo.bonefishcode.com/robots.txt		(from )
20:40:13	3959/3959	---M--	200	added ('OK')	image/png	etag:%22700d2-f77-514f74cf2a000%22	http://demo.bonefishcode.com/eleanore/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/apple-touch-icon.png	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:14	766/766	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22700d7-2fe-514f74cf2a000%22	http://demo.bonefishcode.com/eleanore/assets/img/favicon.ico	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/favicon.ico	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:19	121200/121200	---M--	200	added ('OK')	text/css	etag:%22700b8-1d970-5386b30be7e80%22	http://demo.bonefishcode.com/eleanore/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/css/bootstrap.min.css	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:21	93829/93829	---M--	200	added ('OK')	text/css	etag:%22700c0-16e85-53f6fe32f4940%22	http://demo.bonefishcode.com/eleanore/assets/css/vendor.css	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/css/vendor.css	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:22	3869/3869	---M--	200	added ('OK')	text/css	etag:%22700b9-f1d-53f717710d740%22	http://demo.bonefishcode.com/eleanore/assets/css/custom.css	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/css/custom.css	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:25	15514/15514	---M--	200	added ('OK')	text/javascript	etag:%227010d-3c9a-514f74cf2a000%22	http://demo.bonefishcode.com/eleanore/assets/js/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/js/modernizr-2.8.3.min.js	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:27	182907/182907	---M--	200	added ('OK')	text/css	etag:%227010e-2ca7b-53f74e77c6a00%22	http://demo.bonefishcode.com/eleanore/assets/css/theme-1.css	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/css/theme-1.css	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:29	2921/2921	---M--	200	added ('OK')	image/png	etag:%2270103-b69-53b97ddfd0380%22	http://demo.bonefishcode.com/eleanore/assets/img/site-header-logo-light.png	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/site-header-logo-light.png	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:29	2993/2993	---M--	200	added ('OK')	image/png	etag:%2270102-bb1-53b97dd08df80%22	http://demo.bonefishcode.com/eleanore/assets/img/site-header-logo-dark.png	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/site-header-logo-dark.png	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:35	58244/58244	---M--	200	added ('OK')	image/png	etag:%22700e8-e384-53b822c259100%22	http://demo.bonefishcode.com/eleanore/assets/img/home/home-phone-1.png	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/home/home-phone-1.png	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:35	9759/9759	---M--	200	added ('OK')	image/png	etag:%22700fe-261f-53b68320e7880%22	http://demo.bonefishcode.com/eleanore/assets/img/service/service-icon-1.png	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/service/service-icon-1.png	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:36	6469/6469	---M--	200	added ('OK')	image/png	etag:%22700ff-1945-53b6828b2d740%22	http://demo.bonefishcode.com/eleanore/assets/img/service/service-icon-2.png	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/service/service-icon-2.png	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
20:40:36	47650/47650	---M--	200	added ('OK')	image/png	etag:%22700e9-ba22-53b821d9a6c00%22	http://demo.bonefishcode.com/eleanore/assets/img/home/home-phone-2.png	C:/My%20Web%20Sites/Flat-shoot/demo.bonefishcode.com/eleanore/assets/img/home/home-phone-2.png	(from http://demo.bonefishcode.com/eleanore/index-layout-1-bg-flat+shooting-stars+audio.html)
